"Municipio","ibge","latitude","longitude","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1974 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1975 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1976 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1977 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1978 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1979 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1980 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1981 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1982 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1983 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1984 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1985 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1986 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1987 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1988 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1989 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1990 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1991 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1992 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1993 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1994 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1995 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1996 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1997 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1998 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1999 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2000 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2001 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2002 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2003 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2004 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2005 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2006 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2007 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2008 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2009 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2010 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2011 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2012 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2013 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2014 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2015 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2016 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2017 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2018 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2019 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2020 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2021 (kg/ha)"
"Tapera","4321006","-28.627700000000","-52.861199999990","1.200","1.800","2.000","2.000","1.000","600","1.625","1.358","800","1.200","1.667","1.000","1.263","3.000","320","2.400","1.520","200","2.520","2.000","2.000","2.000","1.143","1.250","1.800","1.857","1.857","2.143","2.444","3.000","2.429","1.143","1.100","2.100","2.100","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Tapes","4321105","-30.668299999990","-51.399099999990","3.262","3.474","3.320","3.700","4.484","3.240","4.314","4.200","4.000","3.500","4.700","4.748","4.797","4.797","4.997","4.999","3.999","5.000","5.000","5.000","4.850","5.800","5.400","5.050","4.350","5.600","6.000","5.300","5.500","5.500","6.400","5.701","5.600","6.050","5.903","6.680","6.144","6.920","7.063","6.950","6.773","6.911","6.175","7.710","6.235","7.100","7.720","8.500"
"Taquara","4321204","-29.650500000000","-50.775300000000","3.600","2.694","2.563","3.600","3.600","3.202","3.461","2.667","2.043","2.388","3.326","4.402","4.123","5.261","5.000","3.717","4.077","4.081","3.423","3.423","3.423","4.444","2.899","5.500","4.783","5.022","5.131","5.257","5.257","5.873","5.873","5.865","6.918","6.918","6.943","7.429","7.461","7.000","6.800","8.000","8.000","6.400","6.400","6.400","6.534","6.495","4.544","6.490"
"Taquari","4321303","-29.794300000000","-51.865299999990","2.823","3.078","3.319","2.940","1.930","2.586","3.000","3.800","3.400","2.730","3.881","4.593","2.156","3.846","3.838","3.905","3.410","3.463","3.969","3.975","2.981","2.788","3.800","4.500","4.500","4.500","4.250","5.000","6.000","6.000","6.250","4.550","7.000","7.000","8.100","8.100","8.000","7.000","8.150","8.100","7.250","7.700","7.530","7.355","8.000","7.355","6.042","8.000"
"Taquaru�u do Sul","4321329","-27.400400000000","-53.470300000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.311","2.511","-","2.514","3.200","3.200","3.200","3.200","3.188","3.188","3.205","3.205","3.205","3.205","3.205","3.205","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","3.000","3.000","2.000","2.000","2.000"
"Tavares","4321352","-31.284300000000","-51.088000000000","-","-","-","-","-","-","-","-","-","4.300","3.900","4.500","4.200","4.200","4.150","3.870","4.040","4.100","4.500","4.500","3.900","4.700","4.550","4.700","4.150","5.000","5.100","5.100","5.000","4.800","5.539","5.387","5.800","6.219","6.300","6.700","6.301","6.273","6.820","7.277","7.277","7.000","6.300","6.003","6.500","6.600","7.000","7.950"
"Tenente Portela","4321402","-27.371099999990","-53.758499999990","900","1.800","1.800","1.800","810","360","2.400","1.471","936","1.200","1.650","1.300","899","1.800","900","1.800","1.500","800","1.822","1.660","1.660","1.660","800","1.462","1.462","1.462","1.462","1.355","1.267","1.267","1.267","1.267","1.467","1.467","1.600","-","-","1.600","1.000","-","-","-","-","-","-","2.000","2.000","2.000"
"Terra de Areia","4321436","-29.578199999990","-50.064399999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3.794","3.867","3.903","3.906","3.914","3.914","3.914","6.471","5.000","3.311","2.969","2.969","3.390","3.390","3.390","5.220","4.929","4.925","2.500","5.600","7.000","7.000","7.000","6.500","6.800","6.800","6.800","6.800","8.204","6.800","6.800","6.800","6.800"
"Teut�nia","4321451","-29.448200000000","-51.804400000000","-","-","-","-","-","-","-","-","-","957","1.400","943","889","1.028","1.250","1.111","1.056","1.040","1.120","1.333","1.333","1.000","1.286","1.000","1.000","1.000","1.000","2.000","2.000","2.000","2.000","1.000","2.000","2.000","2.000","2.000","2.000","-","-","-","-","-","-","-","-","-","-","-"
"Tio Hugo","4321469","-28.574040000000","-52.594900000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3.000","2.000","2.000","2.500","1.000","2.000","2.000","2.000","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Tiradentes do Sul","4321477","-27.402200000000","-54.081400000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.600","1.600","1.600","960","1.333","1.333","1.333","1.333","1.250","1.250","1.400","1.400","-","2.000","2.000","2.000","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Toropi","4321493","-29.478200000000","-54.224400000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.984","4.984","4.974","5.079","4.980","4.892","3.940","5.500","5.000","5.500","5.500","6.000","7.000","4.000","6.500","5.252","7.252","7.500","6.952","6.500","9.500","10.500","6.000","10.000","9.650"
"Torres","4321501","-29.333400000000","-49.733300000000","921","2.408","1.916","3.500","3.500","2.246","2.460","4.200","3.962","2.782","3.976","3.978","3.592","4.632","1.910","1.902","3.955","3.960","3.864","4.189","4.189","4.488","4.040","4.500","4.500","5.100","5.100","4.590","5.000","6.500","5.400","5.600","5.600","4.400","7.000","6.750","6.800","6.800","7.905","5.525","7.200","7.300","7.100","7.300","7.200","7.233","7.244","7.226"
"Tramanda�","4321600","-29.984100000000","-50.132199999990","3.600","3.148","3.057","3.500","3.500","2.233","2.500","4.500","4.300","3.406","4.298","4.600","4.600","4.900","4.655","4.897","5.000","5.000","5.000","5.000","5.000","5.000","5.000","5.000","4.500","4.100","4.100","3.800","4.100","4.100","5.106","5.200","5.200","5.200","6.000","6.000","5.200","6.680","7.199","7.199","7.199","7.198","7.198","8.500","7.200","7.200","7.200","7.200"
"Travesseiro","4321626","-29.297699999990","-52.053199999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.450","1.450","1.450","1.417","1.417","1.417","1.417","1.417","1.417","1.333","1.333","1.333","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Tr�s Arroios","4321634","-27.500299999990","-52.144799999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.800","1.000","-","1.500","1.500","1.200","1.200","880","1.200","2.000","1.200","1.800","1.800","1.267","1.800","367","333","1.600","1.600","1.600","667","1.667","1.667","1.000","1.333","-","-","-","-","-","-","-","-"
"Tr�s Cachoeiras","4321667","-29.448699999990","-49.927500000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3.364","3.739","3.739","3.887","3.887","1.800","1.800","4.000","4.000","4.700","4.700","4.700","4.700","4.700","4.700","4.914","5.107","5.107","5.887","7.000","7.000","7.000","6.949","8.101","8.000","8.000","8.000","8.000","8.000","8.000","7.900","7.900","7.900"
"Tr�s Coroas","4321709","-29.513700000000","-50.773899999990","3.600","2.467","1.400","3.600","3.594","3.615","2.500","2.000","950","920","920","911","800","850","-","1.880","1.880","1.135","794","794","794","794","813","794","1.529","1.529","1.529","1.529","1.529","1.600","1.600","400","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000"
"Tr�s de Maio","4321808","-27.780000000000","-54.235700000000","1.207","2.195","2.400","2.000","1.000","650","650","670","642","1.500","1.667","1.667","2.152","2.045","2.171","2.463","2.801","2.456","2.968","2.963","2.963","2.963","2.863","3.079","3.079","3.079","3.079","3.079","3.079","3.079","3.067","1.333","3.333","3.000","2.500","1.333","1.333","2.833","2.833","2.833","3.000","3.000","3.000","3.000","3.000","3.000","-","-"
"Tr�s Forquilhas","4321832","-29.538399999990","-50.070799999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.800","1.800","1.800","1.619","1.619","1.619","1.619","1.619","1.619","1.619","1.619","1.619","1.595","1.595","1.595","-","-","5.625","6.000","-","-","-","-","-","-","-","-","-","-"
"Tr�s Palmeiras","4321857","-27.613900000000","-52.843699999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.100","2.400","200","3.600","3.000","3.000","2.200","1.000","2.200","2.200","2.200","2.200","2.400","2.400","2.400","2.400","500","1.800","1.800","1.800","1.200","1.600","-","-","-","-","-","-","-","-","-","-","-"
"Tr�s Passos","4321907","-27.455500000000","-53.929600000000","900","2.160","1.800","1.830","810","100","1.800","1.340","900","1.000","1.500","1.300","850","1.000","720","1.800","1.500","800","1.916","2.105","2.105","2.213","1.073","1.889","1.889","1.667","1.667","1.000","1.000","1.000","1.000","1.000","1.800","1.800","1.800","1.800","1.800","1.800","-","-","-","-","-","-","-","3.000","3.000","-"
"Trindade do Sul","4321956","-27.523900000000","-52.895600000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.201","1.200","125","2.000","2.000","2.000","2.000","789","2.000","2.000","2.000","2.000","2.000","800","1.200","-","-","800","800","600","800","1.000","3.000","500","-","-","-","-","-","-","-","-","-"
"Triunfo","4322004","-29.929099999990","-51.707500000000","2.494","3.082","2.612","3.160","3.000","2.387","3.000","3.800","3.400","3.244","3.295","4.300","4.500","4.500","4.400","4.600","4.500","5.000","5.000","5.000","4.750","5.000","5.000","4.750","4.750","5.000","5.000","5.500","5.500","5.500","6.500","6.500","6.000","6.000","8.200","10.000","7.500","7.200","8.050","8.500","6.700","7.500","7.440","8.370","9.000","7.620","7.500","8.000"
"Tucunduva","4322103","-27.657299999990","-54.443899999990","1.125","2.400","2.400","2.000","1.000","600","600","632","714","700","1.500","1.500","1.200","1.900","500","1.500","1.500","1.200","1.200","1.200","1.200","1.200","1.889","1.200","1.200","1.200","1.200","1.200","1.200","1.200","1.200","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Tunas","4322152","-29.103899999990","-52.953800000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.000","2.400","-","2.091","2.398","2.400","2.400","2.000","1.800","2.400","2.400","1.500","2.500","2.500","2.514","1.533","-","2.400","2.400","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Tupanci do Sul","4322186","-27.924099999990","-51.538300000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.300","1.300","1.300","1.038","2.000","2.000","2.000","2.000","2.100","2.120","2.200","2.200","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Tupanciret�","4322202","-29.085799999990","-53.844499999990","3.006","3.227","3.415","3.000","3.000","2.400","2.800","1.900","1.357","1.667","2.633","1.840","1.265","1.684","1.285","1.585","2.377","879","1.608","2.372","2.667","2.400","1.659","1.432","2.746","2.480","1.920","2.160","2.838","2.800","2.000","2.000","2.667","2.833","2.833","2.833","2.833","2.833","2.833","2.800","2.800","-","-","-","-","-","-","-"
"Tupandi","4322251","-29.477200000000","-51.417400000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.200","1.000","1.100","1.400","1.400","1.400","1.400","1.412","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","1.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000"
"Tuparendi","4322301","-27.759799999990","-54.481400000000","1.125","2.400","2.400","2.000","1.000","600","600","645","633","700","700","1.200","1.200","2.100","1.950","1.950","2.100","1.850","1.860","1.977","1.956","1.765","1.765","1.882","1.735","1.882","1.882","1.882","1.882","1.882","1.882","600","2.441","1.200","1.200","1.200","1.200","1.200","1.200","1.200","1.200","1.200","1.200","1.200","1.200","1.200","-","-"
"Turu�u","4322327","-31.417300000000","-52.170600000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5.500","4.500","5.500","4.950","5.500","5.000","4.950","6.280","6.100","6.100","6.100","7.900","7.900","8.500","8.713","8.000","8.730","6.896","8.350","7.912","8.150","8.050","8.761","9.042","9.750"
"Ubiretama","4322343","-28.040400000000","-54.685899999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.533","1.533","1.533","1.533","1.533","1.533","1.533","1.533","667","1.600","1.600","1.600","1.600","1.600","1.600","-","-","-","-","-","-","-","-","-","-"
"Uni�o da Serra","4322350","-28.783300000000","-52.023800000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.795","1.800","2.000","400","1.000","2.533","2.571","2.200","2.500","2.500","2.500","1.500","-","1.500","2.000","1.500","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Unistalda","4322376","-29.039999999990","-55.151699999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.800","3.000","4.747","4.500","4.507","3.600","-","-","-","5.500","5.200","6.750","6.754","5.299","6.304","-","6.000","6.000","-","-","-","-","-","-","-"
"Uruguaiana","4322400","-29.761399999990","-57.085299999990","4.436","4.712","4.340","4.500","4.481","3.837","4.400","4.500","4.420","4.095","4.800","4.900","4.700","5.000","5.200","4.895","5.000","5.200","6.000","5.586","4.900","6.000","5.400","6.300","5.400","6.740","5.700","6.350","7.139","5.602","7.489","6.500","8.300","7.654","8.148","8.230","7.386","8.701","8.383","7.867","8.406","8.940","8.338","8.740","9.300","8.490","8.500","10.345"
"Vacaria","4322509","-28.507899999990","-50.941800000000","1.100","2.200","2.000","2.000","1.000","2.000","2.000","1.200","1.092","1.608","1.500","1.500","1.500","1.500","1.120","1.500","1.500","167","1.500","1.500","1.438","1.533","1.333","2.125","2.125","2.125","2.125","2.100","2.200","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Vale do Sol","4322533","-29.596699999990","-52.683900000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.000","3.893","4.086","3.526","4.951","3.969","4.951","4.951","4.488","4.976","4.971","5.913","3.956","5.446","5.446","5.969","5.969","5.257","7.000","5.400","7.000","7.000","7.330","6.800","7.500","7.500","7.400","7.200","7.500"
"Vale Real","4322541","-29.391900000000","-51.255899999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.667","1.667","1.000","1.333","1.333","1.500","1.500","1.500","1.500","1.500","-","-","-","-","-","-","-","-","-"
"Vale Verde","4322525","-29.786400000000","-52.185699999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5.100","5.100","5.100","5.000","5.153","5.150","4.989","4.833","3.500","5.529","6.500","5.971","6.459","6.250","6.200","6.520","6.700","6.700","7.000","6.504","7.505","6.502","7.190","7.000","7.000"
"Vanini","4322558","-28.475800000000","-51.844700000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.526","1.526","-","1.800","1.300","1.300","1.333","1.000","1.000","1.000","1.000","1.000","1.000","1.250","1.500","1.500","250","1.600","1.600","1.600","1.600","-","-","-","-","-","-","-","-","-","-","-","-"
"Ven�ncio Aires","4322608","-29.614300000000","-52.193199999990","3.000","2.829","2.760","3.100","2.947","2.147","3.393","3.923","3.483","3.739","3.500","3.375","2.429","4.000","4.214","3.429","3.964","3.337","2.850","3.768","2.679","4.300","4.030","4.252","4.000","4.644","4.956","5.037","5.402","5.237","5.103","5.212","6.375","6.733","7.210","7.530","6.080","7.375","8.240","7.869","6.884","7.642","7.311","8.257","7.784","7.022","6.200","8.010"
"Vera Cruz","4322707","-29.718399999990","-52.515200000000","3.000","3.273","3.143","3.600","3.199","2.304","2.545","3.364","4.027","4.156","3.932","3.415","788","2.750","4.654","3.846","2.462","3.727","3.241","4.500","1.984","3.941","3.970","4.465","3.346","4.985","4.488","4.000","4.500","3.995","5.483","4.000","5.956","5.956","5.956","5.956","3.000","7.000","6.000","7.000","6.500","7.000","6.014","7.000","8.400","6.700","6.700","7.000"
"Veran�polis","4322806","-28.931200000000","-51.551600000000","2.000","2.000","2.000","2.000","1.000","800","1.200","1.201","961","1.000","2.000","2.000","1.000","2.000","2.000","2.000","2.000","1.190","2.000","2.000","1.500","1.500","1.000","1.000","1.000","1.000","-","-","-","1.600","1.200","600","1.400","1.400","1.333","1.333","-","-","-","-","-","-","-","-","-","-","-","-"
"Vespasiano Correa","4322855","-29.065500000000","-51.862500000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","-","1.000","1.000","1.667","1.333","1.667","1.333","1.333","1.667","1.667","-","-","-","-","-","-","-"
"Viadutos","4322905","-27.571600000000","-52.021099999990","900","1.600","1.619","1.721","400","200","1.500","1.097","581","1.200","1.200","1.500","800","800","1.200","1.800","1.200","-","1.750","1.797","1.800","2.508","1.600","1.600","1.800","900","2.000","2.000","1.500","2.000","300","-","1.600","1.800","1.800","1.800","-","1.750","1.000","-","-","-","-","-","-","-","-","-"
"Viam�o","4323002","-30.081900000000","-51.019399999990","3.542","3.564","3.757","3.800","3.468","2.430","4.310","3.707","4.750","4.041","4.550","4.800","4.800","4.500","4.350","4.495","4.000","5.000","5.000","4.300","4.000","4.750","4.300","4.300","4.300","4.850","4.850","4.500","5.148","4.949","5.613","5.615","5.990","6.646","6.012","6.578","6.280","6.394","7.080","7.100","8.100","6.550","6.700","6.120","6.021","6.740","6.890","7.160"
"Vicente Dutra","4323101","-27.160799999990","-53.402200000000","1.000","2.000","2.000","2.000","-","-","2.000","1.600","603","803","900","1.000","500","1.399","650","1.300","1.300","-","1.300","1.300","1.300","1.300","1.746","1.300","1.300","1.300","1.300","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","3.000","1.500","1.500","1.500","1.500"
"Victor Graeff","4323200","-28.563199999990","-52.749499999990","1.200","2.250","2.000","2.000","1.000","600","1.625","1.303","900","1.300","894","1.068","710","1.843","700","2.000","1.400","-","2.100","2.100","2.100","2.100","1.310","1.200","1.200","1.200","1.000","1.217","1.800","1.857","1.429","429","1.600","1.600","1.600","1.500","-","-","-","-","-","-","-","-","-","-","-","-"
"Vila Flores","4323309","-28.859800000000","-51.550400000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.000","2.000","1.200","1.800","1.800","1.800","1.800","1.600","1.500","1.500","1.500","-","-","-","2.000","2.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Vila L�ngaro","4323358","-28.106200000000","-52.143799999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.200","1.200","1.200","1.200","1.200","1.200","1.200","1.429","-","1.200","1.200","1.200","1.333","1.333","1.333","1.333","1.333","1.333","1.000","-","-","-","-","-","-"
"Vila Maria","4323408","-28.535900000000","-52.148699999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.500","1.500","-","1.786","1.786","1.786","2.000","978","1.214","1.500","1.500","1.500","2.393","2.393","2.393","2.393","-","2.400","2.400","2.400","2.400","-","-","-","-","-","-","-","-","-","-","-","-"
"Vila Nova do Sul","4323457","-30.346100000000","-53.875999999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5.500","4.600","5.000","5.000","4.250","4.250","5.500","4.650","5.500","5.333","4.378","6.000","4.586","5.500","5.500","5.500","5.500","5.500","6.751","6.500","7.000","6.751","7.000","6.000","8.000","7.503","6.000","6.000","7.000"
"Vista Alegre","4323507","-27.368600000000","-53.491900000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.300","2.000","-","2.311","2.800","2.800","2.800","1.333","2.800","2.800","2.808","2.808","2.808","3.000","3.000","3.000","3.000","3.000","3.000","3.000","3.000","3.000","3.000","3.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000"
"Vista Alegre do Prata","4323606","-28.805199999990","-51.794600000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.000","2.000","-","2.000","2.000","1.400","2.000","1.000","1.680","1.720","1.680","1.680","1.700","1.800","1.800","1.000","-","1.600","1.800","1.667","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Vista Ga�cha","4323705","-27.290199999990","-53.697400000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.800","1.500","1.000","1.750","1.600","1.600","1.600","1.300","1.625","1.625","1.250","1.250","1.200","1.200","1.200","1.200","1.200","2.000","2.000","2.000","2.000","2.000","2.000","-","-","-","-","-","-","-","-","-","-"
"Vit�ria das Miss�es","4323754","-28.351600000000","-54.503999999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.354","1.979","3.193","3.500","4.300","3.688","3.743","4.333","4.750","4.556","4.167","5.000","5.000","5.000","5.000","6.000","6.000","6.000","6.000","10.000","10.000","-","-","-","-","-","5.000","5.000","5.000"
